"row_id","pr_id","pr_number","pr_title","filename","line_number","rule_name","severity","message","fix_hint","line_content","feature_0","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","label","notes"
"18","2885779631","34721","[typo] Fix common spelling errors across codebase","packages/react/src/__tests__/createReactClassIntegration-test.js","182","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","'Warning: A component has a method called UNSAFE_componentWillReceiveProps(). ' +","5","0","0","0","0","2","0","0","1","0",""
"19","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","1","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","/**","1","0","0","0","0","0","0","0","1","0",""
"20","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","2","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","* Copyright (c) Meta Platforms, Inc. and affiliates.","1","0","0","0","0","3","0","0","1","0",""
"21","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","3","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","*","1","0","0","0","0","0","0","0","1","0",""
"22","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","5","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","* LICENSE file in the root directory of this source tree.","1","0","0","0","0","1","0","0","1","0",""
"23","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","6","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","*","1","0","0","0","0","0","0","0","1","0",""
"24","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","8","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","*/","1","0","0","0","0","0","0","0","1","0",""
"25","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","61","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","// **********************************************************","2","0","0","0","0","0","0","0","1","0",""
"26","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","62","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// The section below is copied from files in React repo.","2","0","0","0","0","1","0","0","1","0",""
"27","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","63","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// Keep it in sync, and add version guards if it changes.","2","0","0","0","0","1","0","0","1","0",""
"28","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","64","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","//","2","0","0","0","0","0","0","0","1","0",""
"29","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","67","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// so we can avoid checking for earlier versions and support pre-16.9 canary releases in the process.","2","0","0","0","0","2","0","0","1","0",""
"30","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","90","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","// 18+","3","0","0","0","0","0","0","0","1","0",""
"31","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","104","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","// **********************************************************","2","0","0","0","0","0","0","0","1","0",""
"32","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","105","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// The section below is copied from files in React repo.","2","0","0","0","0","1","0","0","1","0",""
"33","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","106","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// Keep it in sync, and add version guards if it changes.","2","0","0","0","0","1","0","0","1","0",""
"34","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","107","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","//","2","0","0","0","0","0","0","0","1","0",""
"35","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","108","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// TODO Update the gt() check below to be gte() whichever the next version number is.","2","0","0","0","0","3","0","0","1","0",""
"36","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","109","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// Currently the version in Git is 17.0.2 (but that version has not been/may not end up being released).","2","0","0","0","0","4","0","0","1","0",""
"37","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","135","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","OffscreenComponent: 22, // Experimental in 17. Stable in 18+","4","0","0","0","0","1","0","0","1","1",""
"38","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","297","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","// **********************************************************","2","0","0","0","0","0","0","0","1","0",""
"39","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","298","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// End of copied code.","2","0","0","0","0","1","0","0","1","0",""
"40","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","299","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","// **********************************************************","2","0","0","0","0","0","0","0","1","0",""
"41","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","302","syntax-error","critical","Syntax issue ? variable declaration has assignment operator but no value","Provide a value after = (e.g., const id = 1) or remove the assignment operator","const symbolOrNumber =","3","0","0","0","0","0","0","0","1","1",""
"42","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","343","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case MEMO_NUMBER:","4","0","0","0","0","0","0","0","1","0",""
"43","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","344","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case MEMO_SYMBOL_STRING:","4","0","0","0","0","0","0","0","1","0",""
"44","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","347","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case FORWARD_REF_NUMBER:","4","0","0","0","0","0","0","0","1","0",""
"45","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","348","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case FORWARD_REF_SYMBOL_STRING:","4","0","0","0","0","0","0","0","1","0",""
"46","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","350","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","default:","4","0","0","0","0","0","0","0","1","0",""
"47","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","369","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","!shouldSkipForgetCheck &&","4","0","0","0","0","0","0","0","1","0",""
"48","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","371","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","(fiber.updateQueue?.memoCache != null ||","4","0","0","0","0","3","0","0","1","0",""
"49","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","372","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","(Array.isArray(fiber.memoizedState?.memoizedState) &&","5","0","0","0","0","5","0","0","1","0",""
"50","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","373","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","fiber.memoizedState.memoizedState[0]?.[REACT_MEMO_CACHE_SENTINEL]) ||","6","0","0","0","0","3","0","0","1","0",""
"51","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","388","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case ActivityComponent:","4","0","0","0","0","0","0","0","1","0",""
"52","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","390","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case CacheComponent:","4","0","0","0","0","0","0","0","1","0",""
"53","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","392","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case ClassComponent:","4","0","0","0","0","0","0","0","1","0",""
"54","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","393","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case IncompleteClassComponent:","4","0","0","0","0","0","0","0","1","0",""
"55","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","394","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case IncompleteFunctionComponent:","4","0","0","0","0","0","0","0","1","0",""
"56","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","395","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case FunctionComponent:","4","0","0","0","0","0","0","0","1","0",""
"57","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","396","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case IndeterminateComponent:","4","0","0","0","0","0","0","0","1","0",""
"58","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","398","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case ForwardRef:","4","0","0","0","0","0","0","0","1","0",""
"59","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","405","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case HostRoot:","4","0","0","0","0","0","0","0","1","0",""
"60","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","411","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case HostComponent:","4","0","0","0","0","0","0","0","1","0",""
"61","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","412","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case HostSingleton:","4","0","0","0","0","0","0","0","1","0",""
"62","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","413","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case HostHoistable:","4","0","0","0","0","0","0","0","1","0",""
"63","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","415","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case HostPortal:","4","0","0","0","0","0","0","0","1","0",""
"64","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","416","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case HostText:","4","0","0","0","0","0","0","0","1","0",""
"65","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","418","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case Fragment:","4","0","0","0","0","0","0","0","1","0",""
"66","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","420","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case LazyComponent:","4","0","0","0","0","0","0","0","1","0",""
"67","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","421","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// This display name will not be user visible.","5","0","0","0","0","1","0","0","1","0",""
"68","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","422","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// Once a Lazy component loads its inner component, React replaces the tag and type.","5","0","0","0","0","1","0","0","1","0",""
"69","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","423","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// This display name will only show up in console logs when DevTools DEBUG mode is on.","5","0","0","0","0","1","0","0","1","0",""
"70","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","425","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case MemoComponent:","4","0","0","0","0","0","0","0","1","0",""
"71","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","426","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case SimpleMemoComponent:","4","0","0","0","0","0","0","0","1","0",""
"72","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","427","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// Display name in React does not use `Memo` as a wrapper but fallback name.","5","0","0","0","0","1","0","0","1","0",""
"73","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","434","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case SuspenseComponent:","4","0","0","0","0","0","0","0","1","0",""
"74","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","436","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case LegacyHiddenComponent:","4","0","0","0","0","0","0","0","1","0",""
"75","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","438","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case OffscreenComponent:","4","0","0","0","0","0","0","0","1","0",""
"76","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","440","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case ScopeComponent:","4","0","0","0","0","0","0","0","1","0",""
"77","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","442","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case SuspenseListComponent:","4","0","0","0","0","0","0","0","1","0",""
"78","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","444","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case Profiler:","4","0","0","0","0","0","0","0","1","0",""
"79","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","446","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case TracingMarkerComponent:","4","0","0","0","0","0","0","0","1","0",""
"80","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","448","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case ViewTransitionComponent:","4","0","0","0","0","0","0","0","1","0",""
"81","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","450","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case Throw:","4","0","0","0","0","0","0","0","1","0",""
"82","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","451","syntax-error","critical","Syntax issue ? dangling property access at end of line","Complete the expression after the dot (e.g., obj.value)","// This should really never be visible.","5","0","0","0","0","1","0","0","1","0",""
"83","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","453","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","default:","4","0","0","0","0","0","0","0","1","0",""
"84","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","457","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case CONCURRENT_MODE_NUMBER:","6","0","0","0","0","0","0","0","1","0",""
"85","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","458","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case CONCURRENT_MODE_SYMBOL_STRING:","6","0","0","0","0","0","0","0","1","0",""
"86","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","459","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case DEPRECATED_ASYNC_MODE_SYMBOL_STRING:","6","0","0","0","0","0","0","0","1","0",""
"87","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","461","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case PROVIDER_NUMBER:","6","0","0","0","0","0","0","0","1","0",""
"88","3375976237","35986","[DevTools] chore: extract getInternalReactConstants","packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberInternalReactConstants.js","462","syntax-error","critical","Syntax issue ? expression ends with an operator","Complete the expression or remove the trailing operator","case PROVIDER_SYMBOL_STRING:","6","0","0","0","0","0","0","0","1","0",""
